Texto	formato_bio	contem_erro
É uma invasão do Estado na vida privada e fere gravemente a autoridade dos pais dentro de suas próprias casas.	[('É', 'O'), ('uma', 'O'), ('invasão', 'O'), ('do', 'O'), ('Estado', 'O'), ('na', 'O'), ('vida', 'O'), ('privada', 'O'), ('e', 'O'), ('fere', 'O'), ('gravemente', 'O'), ('a', 'O'), ('autoridade', 'O'), ('dos', 'O'), ('pais', 'O'), ('dentro', 'O'), ('de', 'O'), ('suas', 'O'), ('próprias', 'O'), ('casas', 'O'), ('.', 'O')]	False
 Além de<wrong>que, que</wrong> <correct>que</correct> não há casos de morte em decorrência da <wrong>Canabis</wrong> <correct>cannabis</correct> , diferentemente das bebidas alcoólicas e cigarros, que colecionam episódios fatais, como acidentes de trânsito e câncer.	[('Além', 'O'), ('de', 'O'), ('que', 'B-WRONG'), (',', 'I-WRONG'), ('que', 'I-WRONG'), ('<correct>', 'O'), ('que', 'O'), ('</correct>', 'O'), ('não', 'O'), ('há', 'O'), ('casos', 'O'), ('de', 'O'), ('morte', 'O'), ('em', 'O'), ('decorrência', 'O'), ('da', 'O'), ('Canabis', 'B-WRONG'), ('<correct>', 'O'), ('cannabis', 'O'), ('</correct>', 'O'), (',', 'O'), ('diferentemente', 'O'), ('das', 'O'), ('bebidas', 'O'), ('alcoólicas', 'O'), ('e', 'O'), ('cigarros', 'O'), (',', 'O'), ('que', 'O'), ('colecionam', 'O'), ('episódios', 'O'), ('fatais', 'O'), (',', 'O'), ('como', 'O'), ('acidentes', 'O'), ('de', 'O'), ('trânsito', 'O'), ('e', 'O'), ('câncer', 'O'), ('.', 'O')]	True
O Brasil é o país que mais contêm negros fora da África em todo o planeta, isto é, cerca de 45% da população brasileira, porcentagem equivalente a setenta milhões de habitantes.	[('O', 'O'), ('Brasil', 'O'), ('é', 'O'), ('o', 'O'), ('país', 'O'), ('que', 'O'), ('mais', 'O'), ('contêm', 'O'), ('negros', 'O'), ('fora', 'O'), ('da', 'O'), ('África', 'O'), ('em', 'O'), ('todo', 'O'), ('o', 'O'), ('planeta', 'O'), (',', 'O'), ('isto', 'O'), ('é', 'O'), (',', 'O'), ('cerca', 'O'), ('de', 'O'), ('45%', 'O'), ('da', 'O'), ('população', 'O'), ('brasileira', 'O'), (',', 'O'), ('porcentagem', 'O'), ('equivalente', 'O'), ('a', 'O'), ('setenta', 'O'), ('milhões', 'O'), ('de', 'O'), ('habitantes', 'O'), ('.', 'O')]	False
 Com o avanço tecnológico as pessoas começaram a deixar de lado o prazer de abrir um livro e entrar em um outro mundo, o mundo literário, para passar<correct>a</correct> maior parte do seu tempo em rede sociais.	[('Com', 'O'), ('o', 'O'), ('avanço', 'O'), ('tecnológico', 'O'), ('as', 'O'), ('pessoas', 'O'), ('começaram', 'O'), ('a', 'O'), ('deixar', 'O'), ('de', 'O'), ('lado', 'O'), ('o', 'O'), ('prazer', 'O'), ('de', 'O'), ('abrir', 'O'), ('um', 'O'), ('livro', 'O'), ('e', 'O'), ('entrar', 'O'), ('em', 'O'), ('um', 'O'), ('outro', 'O'), ('mundo', 'O'), (',', 'O'), ('o', 'O'), ('mundo', 'O'), ('literário', 'O'), (',', 'O'), ('para', 'O'), ('passar', 'O'), ('<correct>', 'O'), ('a', 'O'), ('</correct>', 'O'), ('maior', 'O'), ('parte', 'O'), ('do', 'O'), ('seu', 'O'), ('tempo', 'O'), ('em', 'O'), ('rede', 'O'), ('sociais', 'O'), ('.', 'O')]	False
Portanto não há dúvida que o preconceito racial persiste em existir meio a um mundo com grandes adversidades étnicas.	[('Portanto', 'O'), ('não', 'O'), ('há', 'O'), ('dúvida', 'O'), ('que', 'O'), ('o', 'O'), ('preconceito', 'O'), ('racial', 'O'), ('persiste', 'O'), ('em', 'O'), ('existir', 'O'), ('meio', 'O'), ('a', 'O'), ('um', 'O'), ('mundo', 'O'), ('com', 'O'), ('grandes', 'O'), ('adversidades', 'O'), ('étnicas', 'O'), ('.', 'O')]	False
O Brasil é o país com o maior número de negros fora do continente<wrong>Africano</wrong> .	[('O', 'O'), ('Brasil', 'O'), ('é', 'O'), ('o', 'O'), ('país', 'O'), ('com', 'O'), ('o', 'O'), ('maior', 'O'), ('número', 'O'), ('de', 'O'), ('negros', 'O'), ('fora', 'O'), ('do', 'O'), ('continente', 'O'), ('Africano', 'B-WRONG'), ('.', 'O')]	True
Essa troca de governo ocorre de 4 em 4 anos e conta com milhões de propostas, promessas e intrigas.	[('Essa', 'O'), ('troca', 'O'), ('de', 'O'), ('governo', 'O'), ('ocorre', 'O'), ('de', 'O'), ('4', 'O'), ('em', 'O'), ('4', 'O'), ('anos', 'O'), ('e', 'O'), ('conta', 'O'), ('com', 'O'), ('milhões', 'O'), ('de', 'O'), ('propostas', 'O'), (',', 'O'), ('promessas', 'O'), ('e', 'O'), ('intrigas', 'O'), ('.', 'O')]	False
Tal sentimento, por sua vez, é baseado no fato de que muitos dos seus veteranos agiram do mesmo modo e não foram reprimidos.	[('Tal', 'O'), ('sentimento', 'O'), (',', 'O'), ('por', 'O'), ('sua', 'O'), ('vez', 'O'), (',', 'O'), ('é', 'O'), ('baseado', 'O'), ('no', 'O'), ('fato', 'O'), ('de', 'O'), ('que', 'O'), ('muitos', 'O'), ('dos', 'O'), ('seus', 'O'), ('veteranos', 'O'), ('agiram', 'O'), ('do', 'O'), ('mesmo', 'O'), ('modo', 'O'), ('e', 'O'), ('não', 'O'), ('foram', 'O'), ('reprimidos', 'O'), ('.', 'O')]	False
O fato de muitos negros hoje ocuparem lugares de destaque não indica que o preconceito racial está chegando ao fim, demonstra apenas que o mundo está abandonando a imagem do negro como pessoa incapaz de atingir um objetivo.	[('O', 'O'), ('fato', 'O'), ('de', 'O'), ('muitos', 'O'), ('negros', 'O'), ('hoje', 'O'), ('ocuparem', 'O'), ('lugares', 'O'), ('de', 'O'), ('destaque', 'O'), ('não', 'O'), ('indica', 'O'), ('que', 'O'), ('o', 'O'), ('preconceito', 'O'), ('racial', 'O'), ('está', 'O'), ('chegando', 'O'), ('ao', 'O'), ('fim', 'O'), (',', 'O'), ('demonstra', 'O'), ('apenas', 'O'), ('que', 'O'), ('o', 'O'), ('mundo', 'O'), ('está', 'O'), ('abandonando', 'O'), ('a', 'O'), ('imagem', 'O'), ('do', 'O'), ('negro', 'O'), ('como', 'O'), ('pessoa', 'O'), ('incapaz', 'O'), ('de', 'O'), ('atingir', 'O'), ('um', 'O'), ('objetivo', 'O'), ('.', 'O')]	False
Essa falta de administração no cenário nacional pode ser observada em uma das grandes enchentes registradas no final de 2008 no Estado de Santa Catarina, em que sessenta municípios foram tomados pelas águas vitimando dezenas de pessoas.	[('Essa', 'O'), ('falta', 'O'), ('de', 'O'), ('administração', 'O'), ('no', 'O'), ('cenário', 'O'), ('nacional', 'O'), ('pode', 'O'), ('ser', 'O'), ('observada', 'O'), ('em', 'O'), ('uma', 'O'), ('das', 'O'), ('grandes', 'O'), ('enchentes', 'O'), ('registradas', 'O'), ('no', 'O'), ('final', 'O'), ('de', 'O'), ('2008', 'O'), ('no', 'O'), ('Estado', 'O'), ('de', 'O'), ('Santa', 'O'), ('Catarina', 'O'), (',', 'O'), ('em', 'O'), ('que', 'O'), ('sessenta', 'O'), ('municípios', 'O'), ('foram', 'O'), ('tomados', 'O'), ('pelas', 'O'), ('águas', 'O'), ('vitimando', 'O'), ('dezenas', 'O'), ('de', 'O'), ('pessoas', 'O'), ('.', 'O')]	False
Como acontece há várias décadas, o povo tupiniquim exala patriotismo em torno da superioridade inata da invencível seleção.	[('Como', 'O'), ('acontece', 'O'), ('há', 'O'), ('várias', 'O'), ('décadas', 'O'), (',', 'O'), ('o', 'O'), ('povo', 'O'), ('tupiniquim', 'O'), ('exala', 'O'), ('patriotismo', 'O'), ('em', 'O'), ('torno', 'O'), ('da', 'O'), ('superioridade', 'O'), ('inata', 'O'), ('da', 'O'), ('invencível', 'O'), ('seleção', 'O'), ('.', 'O')]	False
 Nos dias de hoje, esse<wrong>sentimento, está</wrong> <wrong>levando muitos dos apaixonados à prisão</wrong> por violência, massacre.	[('Nos', 'O'), ('dias', 'O'), ('de', 'O'), ('hoje', 'O'), (',', 'O'), ('esse', 'O'), ('sentimento', 'B-WRONG'), (',', 'I-WRONG'), ('está', 'I-WRONG'), ('levando', 'B-WRONG'), ('muitos', 'I-WRONG'), ('dos', 'I-WRONG'), ('apaixonados', 'I-WRONG'), ('à', 'I-WRONG'), ('prisão', 'I-WRONG'), ('por', 'O'), ('violência', 'O'), (',', 'O'), ('massacre', 'O'), ('.', 'O')]	True
No entanto, questiona-se a eficiência desse sistema, uma vez que ele acaba por segregar ainda mais os negros dentro da sociedade e afirma de forma clara a inferioridade desses grupos no universo social brasileiro.	[('No', 'O'), ('entanto', 'O'), (',', 'O'), ('questiona-se', 'O'), ('a', 'O'), ('eficiência', 'O'), ('desse', 'O'), ('sistema', 'O'), (',', 'O'), ('uma', 'O'), ('vez', 'O'), ('que', 'O'), ('ele', 'O'), ('acaba', 'O'), ('por', 'O'), ('segregar', 'O'), ('ainda', 'O'), ('mais', 'O'), ('os', 'O'), ('negros', 'O'), ('dentro', 'O'), ('da', 'O'), ('sociedade', 'O'), ('e', 'O'), ('afirma', 'O'), ('de', 'O'), ('forma', 'O'), ('clara', 'O'), ('a', 'O'), ('inferioridade', 'O'), ('desses', 'O'), ('grupos', 'O'), ('no', 'O'), ('universo', 'O'), ('social', 'O'), ('brasileiro', 'O'), ('.', 'O')]	False
Nessa situação epidêmica vemos o aumento de mães solteiras,não é só um problema social também é um problema de saúde,além de termos mães despreparadas fisicamente temos mães psicologicamente despreparadas,sem garantia econômica,sem uma estruturas familiar,sem apoio do pai ,vemos em conseqüência disto o grade aumento de números de crianças para a adoção,depressão pós parto e até bebês sendo abandonados por mães anônimas.E importante que tenha uma prevenção antes de tudo que sustente as necessidades de hoje, incentivar conversas entre pais e filhos é fundamental para educação sexual dos jovens,incentivar o respeito a si mesmo,e torna isso mais contraceptivos normal possível.	[('Nessa', 'O'), ('situação', 'O'), ('epidêmica', 'O'), ('vemos', 'O'), ('o', 'O'), ('aumento', 'O'), ('de', 'O'), ('mães', 'O'), ('solteiras', 'O'), (',', 'O'), ('não', 'O'), ('é', 'O'), ('só', 'O'), ('um', 'O'), ('problema', 'O'), ('social', 'O'), ('também', 'O'), ('é', 'O'), ('um', 'O'), ('problema', 'O'), ('de', 'O'), ('saúde', 'O'), (',', 'O'), ('além', 'O'), ('de', 'O'), ('termos', 'O'), ('mães', 'O'), ('despreparadas', 'O'), ('fisicamente', 'O'), ('temos', 'O'), ('mães', 'O'), ('psicologicamente', 'O'), ('despreparadas', 'O'), (',', 'O'), ('sem', 'O'), ('garantia', 'O'), ('econômica', 'O'), (',', 'O'), ('sem', 'O'), ('uma', 'O'), ('estruturas', 'O'), ('familiar', 'O'), (',', 'O'), ('sem', 'O'), ('apoio', 'O'), ('do', 'O'), ('pai', 'O'), (',', 'O'), ('vemos', 'O'), ('em', 'O'), ('conseqüência', 'O'), ('disto', 'O'), ('o', 'O'), ('grade', 'O'), ('aumento', 'O'), ('de', 'O'), ('números', 'O'), ('de', 'O'), ('crianças', 'O'), ('para', 'O'), ('a', 'O'), ('adoção', 'O'), (',', 'O'), ('depressão', 'O'), ('pós', 'O'), ('parto', 'O'), ('e', 'O'), ('até', 'O'), ('bebês', 'O'), ('sendo', 'O'), ('abandonados', 'O'), ('por', 'O'), ('mães', 'O'), ('anônimas', 'O'), ('.', 'O'), ('E', 'O'), ('importante', 'O'), ('que', 'O'), ('tenha', 'O'), ('uma', 'O'), ('prevenção', 'O'), ('antes', 'O'), ('de', 'O'), ('tudo', 'O'), ('que', 'O'), ('sustente', 'O'), ('as', 'O'), ('necessidades', 'O'), ('de', 'O'), ('hoje', 'O'), (',', 'O'), ('incentivar', 'O'), ('conversas', 'O'), ('entre', 'O'), ('pais', 'O'), ('e', 'O'), ('filhos', 'O'), ('é', 'O'), ('fundamental', 'O'), ('para', 'O'), ('educação', 'O'), ('sexual', 'O'), ('dos', 'O'), ('jovens', 'O'), (',', 'O'), ('incentivar', 'O'), ('o', 'O'), ('respeito', 'O'), ('a', 'O'), ('si', 'O'), ('mesmo', 'O'), (',', 'O'), ('e', 'O'), ('torna', 'O'), ('isso', 'O'), ('mais', 'O'), ('contraceptivos', 'O'), ('normal', 'O'), ('possível', 'O'), ('.', 'O')]	False
 É<wrong>comum</wrong> <correct>comum,</correct> ao abrir o jornal ou até mesmo navegar em sites de notícias, observar a vulnerabilidade de oposições e contrastes relacionados a essa lei .	[('É', 'O'), ('comum', 'B-WRONG'), ('<correct>', 'O'), ('comum', 'O'), (',', 'O'), ('</correct>', 'O'), ('ao', 'O'), ('abrir', 'O'), ('o', 'O'), ('jornal', 'O'), ('ou', 'O'), ('até', 'O'), ('mesmo', 'O'), ('navegar', 'O'), ('em', 'O'), ('\x91\x92sites\x92\x92', 'O'), ('de', 'O'), ('notícias', 'O'), (',', 'O'), ('observar', 'O'), ('a', 'O'), ('vulnerabilidade', 'O'), ('de', 'O'), ('oposições', 'O'), ('e', 'O'), ('contrastes', 'O'), ('relacionados', 'O'), ('a', 'O'), ('essa', 'O'), ('lei', 'O'), ('.', 'O')]	True
 Foi constatado<correct>O MEC constatou</correct> que <correct>,</correct> além de apresentar<correct>apresentarem</correct> baixa qualidade (falta de infraestrutura ), tais universidades vituais<correct>virtuais</correct> são burocráticas.	[('Foi', 'O'), ('constatado', 'O'), ('<correct>', 'O'), ('O', 'O'), ('MEC', 'O'), ('constatou', 'O'), ('</correct>', 'O'), ('que', 'O'), ('<correct>', 'O'), (',', 'O'), ('</correct>', 'O'), ('além', 'O'), ('de', 'O'), ('apresentar', 'O'), ('<correct>', 'O'), ('apresentarem', 'O'), ('</correct>', 'O'), ('baixa', 'O'), ('qualidade', 'O'), ('(', 'O'), ('falta', 'O'), ('de', 'O'), ('infraestrutura', 'O'), (')', 'O'), (',', 'O'), ('tais', 'O'), ('universidades', 'O'), ('vituais', 'O'), ('<correct>', 'O'), ('virtuais', 'O'), ('</correct>', 'O'), ('são', 'O'), ('burocráticas', 'O'), ('.', 'O')]	False
 Mas o principal motivo pelo qual as pessoas mentem na internet é o<wrong>fato de não se aceitarem e se sentirem feias e com medo de rejeição.</wrong> Devemos antes de qualquer coisa nos aceitar e deixar bem claro para o outro como somos, assim seremos amados pelo que somos e não pelo personagem que criamos na rede.	[('Mas', 'O'), ('o', 'O'), ('principal', 'O'), ('motivo', 'O'), ('pelo', 'O'), ('qual', 'O'), ('as', 'O'), ('pessoas', 'O'), ('mentem', 'O'), ('na', 'O'), ('internet', 'O'), ('é', 'O'), ('o', 'O'), ('fato', 'B-WRONG'), ('de', 'I-WRONG'), ('não', 'I-WRONG'), ('se', 'I-WRONG'), ('aceitarem', 'I-WRONG'), ('e', 'I-WRONG'), ('se', 'I-WRONG'), ('sentirem', 'I-WRONG'), ('feias', 'I-WRONG'), ('e', 'I-WRONG'), ('com', 'I-WRONG'), ('medo', 'I-WRONG'), ('de', 'I-WRONG'), ('rejeição', 'I-WRONG'), ('.', 'I-WRONG'), ('Devemos', 'O'), ('antes', 'O'), ('de', 'O'), ('qualquer', 'O'), ('coisa', 'O'), ('nos', 'O'), ('aceitar', 'O'), ('e', 'O'), ('deixar', 'O'), ('bem', 'O'), ('claro', 'O'), ('para', 'O'), ('o', 'O'), ('outro', 'O'), ('como', 'O'), ('somos', 'O'), (',', 'O'), ('assim', 'O'), ('seremos', 'O'), ('amados', 'O'), ('pelo', 'O'), ('que', 'O'), ('somos', 'O'), ('e', 'O'), ('não', 'O'), ('pelo', 'O'), ('personagem', 'O'), ('que', 'O'), ('criamos', 'O'), ('na', 'O'), ('rede', 'O'), ('.', 'O')]	True
Uma reunião.	[('Uma', 'O'), ('reunião', 'O'), ('.', 'O')]	False
 Em meio a tudo isso , são os adolescentes<wrong>quem mais aproveitam</wrong> <correct>quem mais aproveita</correct> dessas tecnologias.	[('Em', 'O'), ('meio', 'O'), ('a', 'O'), ('tudo', 'O'), ('isso', 'O'), (',', 'O'), ('são', 'O'), ('os', 'O'), ('adolescentes', 'O'), ('quem', 'B-WRONG'), ('mais', 'I-WRONG'), ('aproveitam', 'I-WRONG'), ('<correct>', 'O'), ('quem', 'O'), ('mais', 'O'), ('aproveita', 'O'), ('</correct>', 'O'), ('dessas', 'O'), ('tecnologias', 'O'), ('.', 'O')]	True
A intolerância religiosa, como todo preconceito, é fruto da ignorância.	[('A', 'O'), ('intolerância', 'O'), ('religiosa', 'O'), (',', 'O'), ('como', 'O'), ('todo', 'O'), ('preconceito', 'O'), (',', 'O'), ('é', 'O'), ('fruto', 'O'), ('da', 'O'), ('ignorância', 'O'), ('.', 'O')]	False
 As condições da saúde e educação estão cada vez mais precárias devido<wrong>a</wrong> <correct>à</correct> falta de investimento.	[('As', 'O'), ('condições', 'O'), ('da', 'O'), ('saúde', 'O'), ('e', 'O'), ('educação', 'O'), ('estão', 'O'), ('cada', 'O'), ('vez', 'O'), ('mais', 'O'), ('precárias', 'O'), ('devido', 'O'), ('a', 'B-WRONG'), ('<correct>', 'O'), ('à', 'O'), ('</correct>', 'O'), ('falta', 'O'), ('de', 'O'), ('investimento', 'O'), ('.', 'O')]	True
 Acabam insistindo na atribuição de fatores externos para justificar o estupro, e simultaneamente favorecem a cultura da impunidade, que já é muito cultivada<wrong>na criminalidade do Brasil</wrong> <correct>no que se refere à criminalidade em geral no Brasil</correct> .	[('Acabam', 'O'), ('insistindo', 'O'), ('na', 'O'), ('atribuição', 'O'), ('de', 'O'), ('fatores', 'O'), ('externos', 'O'), ('para', 'O'), ('justificar', 'O'), ('o', 'O'), ('estupro', 'O'), (',', 'O'), ('e', 'O'), ('simultaneamente', 'O'), ('favorecem', 'O'), ('a', 'O'), ('cultura', 'O'), ('da', 'O'), ('impunidade', 'O'), (',', 'O'), ('que', 'O'), ('já', 'O'), ('é', 'O'), ('muito', 'O'), ('cultivada', 'O'), ('na', 'B-WRONG'), ('criminalidade', 'I-WRONG'), ('do', 'I-WRONG'), ('Brasil', 'I-WRONG'), ('<correct>', 'O'), ('no', 'O'), ('que', 'O'), ('se', 'O'), ('refere', 'O'), ('à', 'O'), ('criminalidade', 'O'), ('em', 'O'), ('geral', 'O'), ('no', 'O'), ('Brasil', 'O'), ('</correct>', 'O'), ('.', 'O')]	True
As crianças e os adolescentes são os mais influenciados pelas propagandas e a divulgação dos produtos, pois a maioria deles tem como atingir esse público e assim fazer com que a obesidade infantil aumente em nossa sociedade.	[('As', 'O'), ('crianças', 'O'), ('e', 'O'), ('os', 'O'), ('adolescentes', 'O'), ('são', 'O'), ('os', 'O'), ('mais', 'O'), ('influenciados', 'O'), ('pelas', 'O'), ('propagandas', 'O'), ('e', 'O'), ('a', 'O'), ('divulgação', 'O'), ('dos', 'O'), ('produtos', 'O'), (',', 'O'), ('pois', 'O'), ('a', 'O'), ('maioria', 'O'), ('deles', 'O'), ('tem', 'O'), ('como', 'O'), ('atingir', 'O'), ('esse', 'O'), ('público', 'O'), ('e', 'O'), ('assim', 'O'), ('fazer', 'O'), ('com', 'O'), ('que', 'O'), ('a', 'O'), ('obesidade', 'O'), ('infantil', 'O'), ('aumente', 'O'), ('em', 'O'), ('nossa', 'O'), ('sociedade', 'O'), ('.', 'O')]	False
 As</correct> causas estariam relacionadas a <wrong>problemas como</wrong> <correct>problemas</correct> socioeconômicos, demográficos, culturais e principalmente de eficazes políticas de melhoria.	[('As', 'O'), ('</correct>', 'O'), ('causas', 'O'), ('estariam', 'O'), ('relacionadas', 'O'), ('a', 'O'), ('problemas', 'B-WRONG'), ('como', 'I-WRONG'), ('<correct>', 'O'), ('problemas', 'O'), ('</correct>', 'O'), ('socioeconômicos', 'O'), (',', 'O'), ('demográficos', 'O'), (',', 'O'), ('culturais', 'O'), ('e', 'O'), ('principalmente', 'O'), ('de', 'O'), ('eficazes', 'O'), ('políticas', 'O'), ('de', 'O'), ('melhoria', 'O'), ('.', 'O')]	True
